id,date,title,description,tournament_id,created_at,updated_at,year
08c127a4-4d5c-40f8-ae3d-e72586abb898,2025-05-11,関東学生ソフトテニス春季リーグ戦,,,2025-04-16 14:57:55.082439+00,2026-01-10 08:26:26.550178+00,2025
15ac651e-d2e2-45f2-89c0-55e4acfd9330,2025-11-02,関東学生ソフトテニス秋季リーグ戦,,,2025-04-16 14:59:37.941939+00,2026-01-10 08:26:26.550178+00,2025
2ae8959a-9b49-4c03-922c-9c6a26411fd9,2025-04-19,２０２５年度春季首都リーグ,,,2025-04-16 15:12:19.921836+00,2026-01-10 08:26:26.550178+00,2025
684e6476-af22-4f32-af35-af471c200c08,2025-04-13,2026年度関東オープン,,,2025-04-16 14:43:31.205585+00,2026-04-18 21:53:02.202876+00,2025
da7e2204-6c80-4c91-9e1b-c4ea8d735f25,2025-05-03,関東学生シングルス,,,2025-04-16 14:47:52.104341+00,2026-01-10 08:26:26.550178+00,2025
df88be25-3e02-42f7-b3ba-2d357ab17ab3,2025-10-19,関東学生ソフトテニス新進大会,,,2025-04-16 14:59:13.194505+00,2026-01-10 08:26:26.550178+00,2025
e144c17a-aa05-4c50-951f-35e1d33cb65e,2025-05-13,関東学生ソフトテニス選手権,,,2025-04-16 14:58:14.971583+00,2026-01-10 08:26:26.550178+00,2025
